Security Code,Security Id,Security Name
500469,FEDERALBNK,FEDERAL BANK LTD.
500470,TATASTEEL,TATA STEEL LTD.
500472,SKFINDIA,SKF India Ltd
500477,ASHOKLEY,ASHOK LEYLAND LTD.
500480,CUMMINSIND,CUMMINS INDIA LTD.
500483,TATACOMM,TATA COMMUNICATIONS LTD.
500488,ABBOTINDIA,ABBOTT INDIA LTD.
500490,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.
500493,BHARATFORG,BHARAT FORGE LTD.
500495,ESCORTS,ESCORTS LTD.
500510,LT,LARSEN & TOUBRO LTD.
500520,M&M,MAHINDRA & MAHINDRA LTD.
500530,BOSCHLTD,BOSCH LTD.
500547,BPCL,BHARAT PETROLEUM CORPORATION LTD.
500550,SIE,SIEMENS LTD.
500570,TATAMOTORS,TATA MOTORS LTD.
500575,VOLTAS,VOLTAS LTD.
500620,GESHIP,GREAT EASTERN SHIPPING CO.LTD.
500645,DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.
500650,EXCELINDUS,EXCEL INDUSTRIES LTD.
500660,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.
500670,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.
500672,NOVARTIND,NOVARTIS INDIA LTD.
500674,SANOFI,Sanofi India Ltd
500680,PFIZER,PFIZER LTD.
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.
500696,HINDUNILVR,HINDUSTAN UNILEVER LTD.
500710,AKZOINDIA,Akzo Nobel India Limited
500730,NOCIL,NOCIL LTD.
500770,TATACHEM,TATA CHEMICALS LTD.
500790,NESTLEIND,NESTLE INDIA LTD.
500800,TATACONSUM,Tata Consumer Products Ltd
500820,ASIANPAINT,ASIAN PAINTS LTD.
500825,BRITANNIA,BRITANNIA INDUSTRIES LTD.
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.
500840,EIHOTEL,EIH LTD.
500850,INDHOTEL,INDIAN HOTELS CO.LTD.
500870,CASTROLIND,CASTROL INDIA LTD.
500875,ITC,ITC LTD.
500877,APOLLOTYRE,APOLLO TYRES LTD.
500878,CEATLTD,CEAT LTD.
500940,FINOLEXIND,FINOLEX INDUSTRIES LTD.
501301,TATAINVEST,TATA INVESTMENT CORPORATION LTD.
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.
501455,GREAVESCOT,GREAVES COTTON LTD.
502090,SAGCEM,SAGAR CEMENTS LTD.-$
502157,MANGLMCEM,MANGALAM CEMENT LTD.
502168,NCLIND,NCL INDUSTRIES LTD.-$
502219,BORORENEW,Borosil Renewables Ltd
502355,BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$
502450,SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.
502986,VTL,VARDHMAN TEXTILES LTD.
503100,PHOENIXLTD,The Phoenix Mills Ltd
503310,SWANENERGY,SWAN ENERGY LTD.
503806,SRF,SRF LTD.
503960,BBL,BHARAT BIJLEE LTD.-$
504067,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.
504112,NELCO,NELCO LTD.
504741,INDIANHUME,INDIAN HUME PIPE CO.LTD.
504966,TINPLATE,TINPLATE COMPANY OF INDIA LTD.
504973,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd
505010,AUTOAXLES,AUTOMOTIVE AXLES LTD.
505192,SMLISUZU,SML ISUZU LIMITED
505200,EICHERMOT,EICHER MOTORS LTD.
505255,GMM,GMM PFAUDLER LTD.
505355,NESCO,NESCO LTD.
505509,RESPONIND,RESPONSIVE INDUSTRIES LTD.
505533,WESTLIFE,WESTLIFE DEVELOPMENT LTD.
505537,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.
505714,GABRIEL,GABRIEL INDIA LTD.-$
505726,IFBIND,IFB INDUSTRIES LTD.
505744,FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LTD.
505790,SCHAEFFLER,Schaeffler India Ltd
505800,RANEHOLDIN,RANE HOLDINGS LTD.
505890,KENNAMET,KENNAMETAL INDIA LTD.-$
506022,PRAKASH,PRAKASH INDUSTRIES LTD.
506076,GRINDWELL,GRINDWELL NORTON LTD.-$
506197,BLISSGVS,BLISS GVS PHARMA LTD.
506235,ALEMBICLTD,ALEMBIC LTD.
506285,BAYERCROP,BAYER CROPSCIENCE LTD.
506390,CLNINDIA,CLARIANT CHEMICALS (INDIA) LTD.
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.
506401,DEEPAKNI,DEEPAK NITRITE LTD.-$
506579,ORIENTCQ,ORIENTAL CARBON & CHEMICALS LTD.-$
506590,PHILIPCARB,PHILLIPS CARBON BLACK LTD.
506655,SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LTD.
506690,UNICHEMLAB,UNICHEM LABORATORIES LTD.
506767,ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$
506820,ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD.
506943,JBCHEPHARM,J.B.CHEMICALS & PHARMACEUTICALS LTD.
507685,WIPRO,WIPRO LTD.
507717,DHANUKA,DHANUKA AGRITECH LTD.
507815,GILLETTE,GILLETTE INDIA LTD.
507880,VIPIND,V.I.P.INDUSTRIES LTD.-$
508486,HAWKINCOOK,HAWKINS COOKERS LTD.-$
508814,COSMOFILMS,COSMO FILMS LTD.
508869,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.
508989,NAVNETEDUL,Navneet Education Limited
509243,TVSSRICHAK,TVS SRICHAKRA LTD.-$
509480,BERGEPAINT,BERGER PAINTS INDIA LTD.
509488,GRAPHITE,GRAPHITE INDIA LTD.
509496,ITDCEM,ITD CEMENTATION INDIA LTD.
509557,GARFIBRES,Garware Technical Fibres Ltd
509631,HEG,HEG LTD.
509675,HIL,HIL LTD.
509820,HUHTAMAKI,Huhtamaki India Ltd
509930,SUPREMEIND,SUPREME INDUSTRIES LTD.
509966,VSTIND,VST INDUSTRIES LTD.
511196,CANFINHOME,CAN FIN HOMES LTD.
511218,SRTRANSFIN,SHRIRAM TRANSPORT FINANCE CO.LTD.
511243,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd
511431,VAKRANGEE,Vakrangee Limited-$
511676,GICHSGFIN,GIC HOUSING FINANCE LTD.
512070,UPL,UPL Limited
512179,SUNTECK,SUNTECK REALTY LTD.
512237,JAICORPLTD,JAI CORP LTD.
512529,SEQUENT,SEQUENT SCIENTIFIC LTD.
512573,AVANTI,AVANTI FEEDS LTD.-$
512599,ADANIENT,ADANI ENTERPRISES LTD.
513010,TATASTLLP,Tata Steel Long Products Ltd
513023,NBVENTURES*,NAVA BHARAT VENTURES LTD.
513375,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.
513377,MMTC,MMTC LTD.
513434,TATAMETALI,TATA METALIKS LTD.
513599,HINDCOPPER,HINDUSTAN COPPER LTD.
513605,SRIPIPES,Srikalahasthi Pipes Limited
513683,NLCINDIA,NLC India Ltd
514043,HIMATSEIDE,HIMATSINGKA SEIDE LTD.
514162,WELSPUNIND,WELSPUN INDIA LTD.
515030,ASAHIINDIA,ASAHI INDIA GLASS LTD.
517015,VINDHYATEL,VINDHYA TELELINKS LTD.
517146,USHAMART,USHA MARTIN LTD.
517168,SUBROS,SUBROS LTD.
517174,HONAUT,HONEYWELL AUTOMATION INDIA LTD.
517300,GIPCL,GUJARAT INDUSTRIES POWER CO.LTD.
517334,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.
517354,HAVELLS,HAVELLS INDIA LTD.
517380,IGARASHI,IGARASHI MOTORS INDIA LTD.
517385,SYMPHONY,Symphony Limited
517506,TTKPRESTIG,TTK PRESTIGE LTD.
517569,KEI,KEI INDUSTRIES LTD.
519091,TASTYBIT,TASTY BITE EATABLES LTD.
519183,ADFFOODS,ADF FOODS LTD.-$
519552,HERITGFOOD,Heritage Foods Limited
519588,DFM,DFM FOODS LTD.
519600,CCL,CCL PRODUCTS (INDIA) LTD.
520008,RICOAUTO,RICO AUTO INDUSTRIES LTD.
520051,JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.
520056,SUNCLAYLTD,SUNDARAM-CLAYTON LTD.
520057,JTEKTINDIA,Jtekt India Ltd
520111,RATNAMANI,RATNAMANI METALS & TUBES LTD.-$
520113,VESUVIUS,VESUVIUS INDIA LTD.
521016,ICIL,INDO COUNT INDUSTRIES LTD.
521064,TRIDENT,TRIDENT LTD.
521248,KITEX,KITEX GARMENTS LTD.
522064,HONDAPOWER,Honda India Power Products Ltd
522074,ELGIEQUIP,ELGI EQUIPMENTS LTD.
522113,TIMKEN,TIMKEN INDIA LTD.
522205,PRAJIND,PRAJ INDUSTRIES LTD.
522249,MAYURUNIQ,MAYUR UNIQUOTERS LTD.-$
522263,JMCPROJECT,JMC PROJECTS (INDIA) LTD.-$
522275,GET&D,GE T&D India Ltd
522287,KALPATPOWR,KALPATARU POWER TRANSMISSION LTD.
523025,SAFARIND,SAFARI INDUSTRIES (INDIA) LTD.
523261,VENKYS,VENKY&#39;S (INDIA) LTD.
523319,BALMLAWRIE,BALMER LAWRIE & CO.LTD.
523367,DCMSHRIRAM,DCM Shriram Limited
523385,NILKAMAL,NILKAMAL LTD.
523395,3MINDIA,3M INDIA LTD.
523398,JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd
523405,JMFINANCIL,JM FINANCIAL LTD.-$
523445,RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LTD.
523457,LINDEINDIA,Linde India Limited
523598,SCI,SHIPPING CORPORATION OF INDIA LTD.
523610,ITI,ITI LTD.
523618,DREDGECORP,DREDGING CORPORATION OF INDIA LTD.
523630,NFL,NATIONAL FERTILIZERS LTD.
523642,PIIND,PI Industries Ltd
523660,WATERBASE,WATERBASE LTD.
523694,APCOTEXIND,APCOTEX INDUSTRIES LTD.
523704,MASTEK,MASTEK LTD.
524000,MAGMA,MAGMA FINCORP LTD.
524051,POLYPLEX,POLYPLEX CORPORATION LTD.
524164,IOLCP,IOL CHEMICALS & PHARMACEUTICALS LTD.
524200,VINATIORGA,VINATI ORGANICS LTD.-$
524208,AARTIIND,AARTI INDUSTRIES LTD.
524226,GAEL,GUJARAT AMBUJA EXPORTS LTD.
524230,RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.
524348,AARTIDRUGS,AARTI DRUGS LTD.
524370,BODALCHEM,BODAL CHEMICALS LTD.
524404,MARKSANS,MARKSANS PHARMA LTD.
524494,IPCALAB,IPCA LABORATORIES LTD.
524558,NEULANDLAB,NEULAND LABORATORIES LTD.
524669,HESTERBIO,HESTER BIOSCIENCES LTD.
524715,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.
524735,HIKAL,HIKAL LTD.
524742,CAPPL,CAPLIN POINT LABORATORIES LTD.
524804,AUROPHARMA,AUROBINDO PHARMA LTD.
524816,NATCOPHARM,NATCO PHARMA LTD.
526299,MPHASIS,MPHASIS LTD.
526371,NMDC,NMDC LTD.
526612,BLUEDART,BLUE DART EXPRESS LTD.
526797,GREENPLY,GREENPLY INDUSTRIES LTD.
526947,LAOPALA,LA OPALA RG LTD.
530001,GUJALKALI,GUJARAT ALKALIES & CHEMICALS LTD.
530005,INDIACEM,INDIA CEMENTS LTD.
530007,JKTYRE,JK TYRE & INDUSTRIES LTD.
530019,JUBLPHARMA,Jubilant Pharmova Ltd
530117,PRIVISCL,Privi Speciality Chemicals Ltd
530239,SUVEN,SUVEN LIFE SCIENCES LTD.
530367,NRBBEARING,NRB BEARINGS LTD.
530517,RELAXO,RELAXO FOOTWEARS LTD.-$
530549,SHILPAMED,SHILPA MEDICARE LTD.
530813,KRBL,KRBL LTD.
530965,IOC,INDIAN OIL CORPORATION LTD.
530999,BALAMINES,BALAJI AMINES LTD.-$
531120,PATELENG,PATEL ENGINEERING LTD.-$
531162,EMAMILTD,EMAMI LTD.-$
531179,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.
531209,NUCLEUS,NUCLEUS SOFTWARE EXPORTS LTD.
531213,MANAPPURAM,MANAPPURAM FINANCE LTD.
531266,VSTTILLERS,V.S.T.TILLERS TRACTORS LTD.-$
531335,ZYDUSWELL,ZYDUS WELLNESS LTD.-$
531344,CONCOR,CONTAINER CORPORATION OF INDIA LTD.
531349,PANACEABIO,PANACEA BIOTEC LTD.
531426,TNPL,TAMIL NADU NEWSPRINT & PAPERS LTD.
531500,RAJESHEXPO,RAJESH EXPORTS LTD.
531508,EVEREADY,EVEREADY INDUSTRIES INDIA LTD.
531531,HATSUN,HATSUN AGRO PRODUCT LTD.
531548,SOMANYCERA,SOMANY CERAMICS LTD.
531595,CGCL,Capri Global Capital Limited
531599,FDC,FDC LTD.
531633,LINCOPH,LINCOLN PHARMACEUTICALS LTD.
531642,MARICO,MARICO LTD.
531761,APOLLOPIPES,Apollo Pipes Ltd
531768,POLYMED,POLY MEDICURE LTD.
532134,BANKBARODA,BANK OF BARODA
532144,WELCORP,Welspun Corp Limited
532149,BANKINDIA,BANK OF INDIA
532155,GAIL,GAIL (INDIA) LTD.
532156,VAIBHAVGBL,Vaibhav Global Ltd
532162,JKPAPER,JK PAPER LTD.
532163,SAREGAMA,SAREGAMA INDIA LTD.
532174,ICICIBANK,ICICI BANK LTD.
532175,CYIENT,Cyient Limited
532178,ENGINERSIN,ENGINEERS INDIA LTD.
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.
532187,INDUSINDBK,INDUSIND BANK LTD.
532189,ITDC,INDIA TOURISM DEVELOPMENT CORPORATION LTD.
532209,J&KBANK,JAMMU & KASHMIR BANK LTD.
532210,CUB,CITY UNION BANK LTD.
532215,AXISBANK,AXIS BANK LTD.
532218,SOUTHBANK,SOUTH INDIAN BANK LTD.
532221,SONATSOFTW,SONATA SOFTWARE LTD.
532234,NATIONALUM,NATIONAL ALUMINIUM CO.LTD.
532259,APARINDS,APAR INDUSTRIES LTD.
532268,ACCELYA,Accelya Solutions India Ltd
532281,HCLTECH,HCL TECHNOLOGIES LTD.
532286,JINDALSTEL,JINDAL STEEL & POWER LTD.
532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.
532300,WOCKPHARMA,WOCKHARDT LTD.
532301,TATACOFFEE,TATA COFFEE LTD.
532309,GEPIL,GE Power India Ltd
532313,MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LTD.
532321,CADILAHC,CADILA HEALTHCARE LTD.
532331,AJANTPHARM,AJANTA PHARMA LTD.
532343,TVSMOTOR,TVS MOTOR COMPANY LTD.
532345,GATI,GATI LTD.
532349,TCI,TRANSPORT CORPORATION OF INDIA LTD.
532356,TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LTD.
532369,RAMCOIND,RAMCO INDUSTRIES LTD.
532370,RAMCOSYS,RAMCO SYSTEMS LTD.
532374,STLTECH,STERLITE TECHNOLOGIES LTD.
532382,BALAJITELE,BALAJI TELEFILMS LTD.
532388,IOB,INDIAN OVERSEAS BANK
532390,TAJGVK,TAJGVK HOTELS & RESORTS LTD.
532400,BSOFT,Birlasoft Ltd
532424,GODREJCP,GODREJ CONSUMER PRODUCTS LTD.
532430,BFUTILITIE,BF UTILITIES LTD.-$
532443,CERA,CERA SANITARYWARE LTD.
532454,BHARTIARTL,BHARTI AIRTEL LTD.
532461,PNB,PUNJAB NATIONAL BANK
532466,OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LTD.
532468,KAMAHOLD,Kama Holdings Limited-$
532475,APTECHT,APTECH LTD.
532477,UNIONBANK,UNION BANK OF INDIA
532478,UBL,UNITED BREWERIES LTD.-$
532482,GRANULES,GRANULES INDIA LTD.-$
532483,CANBK,CANARA BANK
532488,DIVISLAB,DIVI&#39;S LABORATORIES LTD.
532493,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD.
532497,RADICO,RADICO KHAITAN LTD.
532498,SHRIRAMCIT,SHRIRAM CITY UNION FINANCE LTD.
532500,MARUTI,MARUTI SUZUKI INDIA LTD.
532504,NAVINFLUOR,Navin Fluorine International Limited-$
532505,UCOBANK,UCO BANK
532508,JSL,JINDAL STAINLESS LTD.
532509,SUPRAJIT,SUPRAJIT ENGINEERING LTD.-$
532514,IGL,INDRAPRASTHA GAS LTD.
532515,TVTODAY,TV TODAY NETWORK LTD.
532522,PETRONET,PETRONET LNG LTD.
532523,BIOCON,BIOCON LTD.
532524,PTC,PTC INDIA LTD.
532525,MAHABANK,BANK OF MAHARASHTRA
532527,RKFORGE,RAMKRISHNA FORGINGS LTD.
532531,STAR,Strides Pharma Science Ltd
532532,JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD.
532538,ULTRACEMCO,ULTRATECH CEMENT LTD.
532539,MINDAIND,MINDA INDUSTRIES LTD.-$
532540,TCS,TATA CONSULTANCY SERVICES LTD.
532541,COFORGE,Coforge Ltd
532548,CENTURYPLY,CENTURY PLYBOARDS (I) LTD.-$
532553,WELENT,Welspun Enterprises Ltd
532555,NTPC,NTPC LTD.
532610,DWARKESH,DWARIKESH SUGAR INDUSTRIES LTD.
532612,INDOCO,INDOCO REMEDIES LTD.
532622,GDL,GATEWAY DISTRIPARKS LTD.
532636,IIFL,IIFL Finance Ltd
532638,SHOPERSTOP,SHOPPERS STOP LTD.
532642,JSWHL,JSW Holdings Limited
532644,JKCEMENT,J.K.CEMENT LTD.
532648,YESBANK,YES BANK LTD.
532652,KTKBANK,KARNATAKA BANK LTD.
532659,IDFC,IDFC LIMITED
532663,SASKEN,Sasken Technologies Ltd
532667,SUZLON,SUZLON ENERGY LTD.
532683,AIAENG,AIA ENGINEERING LTD.
532689,PVR,PVR LTD.
532702,GSPL,GUJARAT STATE PETRONET LTD.
532705,JAGRAN,JAGRAN PRAKASHAN LTD.
532706,INOXLEISUR,INOX LEISURE LTD.
532710,SADBHAV,SADBHAV ENGINEERING LTD.
532714,KEC,KEC INTERNATIONAL LTD.
532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.
532725,SOLARINDS,SOLAR INDUSTRIES INDIA LTD.
532733,SUNTV,SUN TV NETWORK LTD.
532734,GPIL,GODAWARI POWER & ISPAT LTD.
532735,RSYSTEMINT,R Systems International Limited
532749,ALLCARGO,ALLCARGO LOGISTICS LTD.
532754,GMRINFRA,GMR INFRASTRUCTURE LTD.
532755,TECHM,TECH MAHINDRA LTD.
532756,MAHINDCIE,Mahindra CIE Automotive Limited
532757,VOLTAMP,VOLTAMP TRANSFORMERS LTD.
532762,ACE,ACTION CONSTRUCTION EQUIPMENT LTD.
532772,DCBBANK,DCB Bank Limited
532777,NAUKRI,INFO EDGE (INDIA) LTD.
532779,TORNTPOWER,TORRENT POWER LTD.
532783,DAAWAT,LT FOODS LTD.
532784,SOBHA,Sobha Limited
532798,NETWORK18,NETWORK18 MEDIA & INVESTMENTS LTD.
532800,TV18BRDCST,TV18 BROADCAST LTD.
532805,REDINGTON,REDINGTON (INDIA) LTD.
532809,FSL,FIRSTSOURCE SOLUTIONS LTD.
532810,PFC,POWER FINANCE CORPORATION LTD.
532811,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.
532814,INDIANB,INDIAN BANK
532819,MINDTREE,MINDTREE LTD.
532822,IDEA,Vodafone Idea Ltd
532827,PAGEIND,PAGE INDUSTRIES LTD.
532830,ASTRAL,ASTRAL POLY TECHNIK LTD.
532832,IBREALEST,INDIABULLS REAL ESTATE LTD.
532834,CAMLINFINE,CAMLIN FINE SCIENCES LTD.
532835,ICRA,ICRA LTD.
532839,DISHTV,DISH TV INDIA LTD.
532843,FORTIS,FORTIS HEALTHCARE LTD.
532848,DELTACORP,DELTA CORP LTD.
532851,INSECTICID,INSECTICIDES (INDIA) LTD.
532856,TIMETECHNO,TIME TECHNOPLAST LTD.
532859,HGS,HINDUJA GLOBAL SOLUTIONS LTD.
532865,MEGH,MEGHMANI ORGANICS LTD.
532868,DLF,DLF LTD.
532872,SPARC,SUN PHARMA ADVANCED RESEARCH COMPANY LTD.
532880,OMAXE,OMAXE LTD.
532885,CENTRALBK,CENTRAL BANK OF INDIA
532888,ASIANTILES,ASIAN GRANITO INDIA LTD.
532889,KPRMILL,K.P.R. Mill Limited
532890,TAKE,TAKE SOLUTIONS LTD.
532892,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LTD.
532898,POWERGRID,POWER GRID CORPORATION OF INDIA LTD.
532899,KSCL,KAVERI SEED COMPANY LTD.
532900,PAISALO,Paisalo Digital Ltd
532915,RELIGARE,RELIGARE ENTERPRISES LTD.
532921,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.
532922,EDELWEISS,Edelweiss Financial Services Ltd.
532924,KOLTEPATIL,KOLTE-PATIL DEVELOPERS LTD.
532926,JYOTHYLAB,Jyothy Labs Ltd
532927,ECLERX,ECLERX SERVICES LTD.
532929,BRIGADE,BRIGADE ENTERPRISES LTD.
532939,RPOWER,RELIANCE POWER LTD.
532940,JKIL,J.KUMAR INFRAPROJECTS LTD.
532942,KNRCON,KNR CONSTRUCTIONS LTD.
532947,IRB,IRB INFRASTRUCTURE DEVELOPERS LTD.
532953,VGUARD,V-GUARD INDUSTRIES LTD.
532955,RECLTD,REC Ltd
532966,TWL,TITAGARH WAGONS LTD.
532967,KIRIINDUS,KIRI INDUSTRIES LTD.
